id,name,legal_base
axis_1,AMPLIACION DE LA DEMOCRACIA,Impulsar mecanismos que garanticen la representación y la toma de decisiones de todos los sociales en la gestión del gobierno y fortalecer la organización social. sectores
axis_2,AUTONOMIA SOLIDARIA,Impulsar procesos de descentralización integral del Estado y de integración territorial actuación autónoma y solidaria de las instituciones. sustentados en la
axis_3,ECONOMIA SOCIAL Y SOLIDARIA,Mejorar la calidad de vida de la población sobre la base del acceso pleno al empleo
axis_4,SUSTENTABILIDAD AMBIENTAL,Instaurar el sistema de gestión ambiental y de recursos naturales como mecanismo de garantía de mitigación de impactos ambientales y actuación responsable y solidaria. articulación interinstitucional
axis_5,GESTION VIAL SOLIDARIA,Administración publica descentralizada de la gestión vial
